序號	單元	答案	題目
1	1	3	下列儲存記憶體中，何者無法存入只能讀取？(1)磁碟片(2)RAM(3)ROM(4)磁帶。
2	1	2	下列何者在網際網路(Internet)上屬於單一性不可重複？(1)Subnet Mask(2)IP Address(3)Default Gateway(4)Password。
3	1	2	在實作副程式(Subroutine)呼叫時，需使用何種資料結構來處理返回呼叫程式的位址？(1)Queue(2)Stack(3)Tree(4)Linked list。
4	1	2	下列關於「雙核心CPU」的敘述，何者正確？(1)雙核心CPU就是指加入了Hyper-Threading技術的CPU(2)雙核心CPU是利用平行運算的概念來提高效能(3)雙核心CPU就是32位元x2，也就是所謂的64位元CPU(4)雙核心CPU的時脈是單核心CPU時脈的兩倍。
5	1	1	下列關於「雙核心CPU」的敘述，何者錯誤？(1)雙核心CPU因為有2個核心，所以耗電量是單核心CPU的2倍(2)雙核心CPU所使用的程式必須經過特別設計，才能發揮效能(3)雙核心CPU內，共有2組的控制單元和算術/邏輯運算單元(4)雙核心CPU若加上了Hyper-Threading技術，作業系統會認為擁有四組處理器。
6	1	4	下列關於「CPU時脈」敘述，何者錯誤？(1)一般描述CPU的效能時，是以CPU運作的「時脈頻率」，也稱為「工作時脈」來描述(2)早期其單位為MHz，如Celeron 950與Duron 800就是指其時脈頻率分別為950MHz與800MHz(3)近來則發展到GHz的速度，像是Pentium4 3.2G、Duro 1.8G(4)時脈頻率愈高不表示執行效能愈快。
7	1	3	下列何者是Really Simple Syndication(RSS)所使用的語言技術？(1)Java(2)Object C(3)XML(4)HTML。
8	1	2	下列關於「快取記憶體」的敘述，何者錯誤？(1)配置在暫存器和主記憶體之間(2)通常配置容量相當於主記憶體的容量(3)由於CPU讀取需要的指令或資料時，會先到快取記憶體尋找，若找不到時才會再到主記憶體中讀取(4)若CPU在快取記憶體就能找到需要的資料，便無需再到主記憶體讀取，故資料傳送的時間就能大幅縮短。
9	1	4	為了避免實體主記憶體不足而無法執行程式，所發展出的技術為何？(1)快取記憶體(2)輔助記憶體(3)快閃記憶體(4)虛擬記憶體。
10	1	3	「編譯器」主要的功能為何？(1)將組合語言程式碼轉譯成機器碼(2)將程式重新定址(3)將高階語言程式碼轉譯成機器碼(4)連結互相呼叫的程式。
11	1	2	下列那一種「排程演算法」，理論上能得到最短的平均等待時間？(1)先到先做(FCFS)(2)最短工作先做(SJF)(3)優先權(Priority)(4)循環分配(RR)。
12	1	4	下列哪一種「排程演算法」具有時間配額的設計？(1)先到先做(FCFS)(2)最短工作先做(SJF)(3)優先權(Priority)(4)循環分配(RR)。
13	1	4	下列關於「分封交換(Packet Switching)」的敘述中，何者錯誤？(1)分封交換可彈性機動選擇資料傳送的路徑，減少遲延的現象(2)在不同的傳輸速率或通信協定下，均可相互轉換傳送(3)通信使用時間較分散的用戶適於使用(4)分封交換的每個封包的長度是可變動的。
14	1	4	下列那一種「排程演算法」可以產生共享處理器現象？(1)先到先做(FCFS)(2)最短工作先做(SJF)(3)優先權(Priority)(4)循環分配(RR)。
15	1	3	下列何者不屬於「無線網路」技術規格？(1)802.11a(2)Bluetooth(3)100BaseTX(4)WAP。
16	1	1	下列何者是動態IP位址的特色？(1)連線時才取得IP位址(2)IP位址固定不變(3)IP位址為自己專用(4)適合用來架站。
17	1	3	在判斷發送端與目的地是否位於相同網路區段時，會執行下列那一種邏輯運算？(1)XOR(2)OR(3)AND(4)NOT。
18	1	2	「TCP協定」的主要功用不包含下列哪一項？(1)錯誤處理(2)加密(3)重送(4)控制流量。
19	1	2	下列敘述何者正確？(1)IPv4位址為64bits(2)IPv6位址為128bits(3)IPv4位址通常以「4段式、16進位」表示(4)「203.74.205.256」為正確的IPv4位址。
20	1	2	通常在接收電子郵件時，使用下列哪一種協定？(1)SMTP(2)POP3(3)FTP(4)ARP。
21	1	1	若一個堆疊(Stack)可存放5個元素，連續push 5筆資料後，再繼續push 1筆資料會(1)失敗，不能再push資料進去(2)將第1筆資料pop出來(3)將第5筆資料pop出來(4)將第2筆資料pop出來。
22	1	3	下列關於「排序」的敘述，何者錯誤？(1)要排序的資料量會影響排序的速度(2)快速排序法使用分而治之的概念(3)氣泡排序法不能用來將資料由大排到小(4)快速排序法比氣泡排序法有較佳的效率。
23	1	3	下列何種應用不是使用「佇列(Queue)」資料結構？(1)個人電腦的鍵盤緩衝區(2)作業系統的處理工作排程(3)呼叫函式時，儲存返回位址及傳遞參數(4)印表機的列印工作排程。
24	1	1	下列有關「光纖」的敘述中，何者錯誤？(1)只適於傳送數位化的信號(2)可使用的頻寬，比同軸電纜高出許多(3)由玻璃纖維所組成，不受電磁干擾(4)傳輸速率高，體積細小。
25	1	2	「將資料以表格的方式儲存，並透過參考的關係來查詢相關資料」，是屬於何種資料模型？(1)階層式(2)關聯式(3)物件導向式(4)表格式。
26	1	4	下列何者不是使用資料庫的優點？(1)減少資料的重複性(2)強化資料的保密性及安全性(3)減少儲存資料的空間(4)不需專人管理及維護資料庫。
27	1	3	下列何者不是建置管理資訊系統的目的？(1)提供企業組織必要的資訊(2)支援企業組織的管理及決策(3)提供國稅局查核公司預算(4)協助企業組織獲取更佳的績效。
28	1	1	下列何者為WWW的通訊協定？(1)HTTP(Hyper Text Transfer Protocol)(2)SMTP(Simple Mail Transfer Protocol)(3)FTP(File Transfer Protocol)(4)PPP(Point to Point Protocol)。
29	1	2	下列何者為規範網際網路上電子郵件傳遞的通訊協定？(1)HTTP(Hyper Text Transfer Protocol)(2)SMTP(Simple Mail Transfer Protocol)(3)FTP(File Transfer Protocol)(4)PPP(Point to Point Protocol)。
30	1	2	在電子商務中，確認訊息來源的服務機制是？(1)對稱式加密(2)數位簽章(3)Unicode(4)資料探勘(Data Mining)。
31	1	2	下列何者是數位浮水印技術的主要應用範圍？(1)上網撥接(2)電子商務的安全查核(3)網域名稱查詢(4)使用者管理。
32	1	2	當接收到一密文(ciphertext)為「YBIR」，而且知道它是將明文(plaintext)的英文字母所對應之次序數字(如A的字母次序數字為1，B次序數字為2，...，Z次序數字為26)，經過以下公式：密文的字母次序數字＝((明文的字母次序數字＋13)mod 26)，來得到新的英文字母所對應之次序數字，其中mod為兩個整數做除法所得到的餘數，請問原來的明文訊息(message)應該為哪一個?(1)LIKE(2)LOVE(3)LONG(4)LOST。
33	1	3	下列何種機制使得Java能夠完成跨平台(Cross Platform)運作？(1)例外處理(2)物件導向(3)虛擬機器(4)多執行緒(Multi-thread)。
34	1	3	下列何者之功能是網路防火牆(Firewall)所無法提供的？(1)流量管理稽核(2)集中安全控管(3)用戶身分管理(4)阻絕異常存取。
35	1	2	下列敘述中，何者錯誤？(1)乙太網路(Ethernet)採用匯流排網路結構及基頻(Baseband)傳輸技術(2)10BASE 5和10BASET都採用50歐姆同軸電纜作為傳輸媒介(3)10BASE 5和10BASET的資料傳輸速率都是10Mbps(4)在乙太網路中，10BASE 2的每段最長之長度為200公尺。
36	1	1	下列何者是不提供日誌(Journaling)功能的檔案系統？(1)Ext2(2)Ext3(3)Ext4(4)ReiserFS。
37	1	2	下列關於「網路服務」所通用的埠號(Port)之敘述，何者有誤？(1)HTTP使用port 80(2)Telnet使用port 161(3)POP3使用port 110(4)SMTP使用port 25。
38	1	1	下列可以偵測錯誤的編碼方法中，何者具錯誤更正能力？(1)漢明碼(Hamming Code)(2)同位元檢查(Parity Bit Check)(3)循環冗餘檢查碼(Cyclic Redundancy Check Code)(4)檢查和(Checksum)。
39	1	3	下列「排序演算法」中，哪一種的平均速度最快？(1)泡沬排序(2)選擇排序(3)快速排序(4)插入排序。
40	1	4	對於SQL語法的使用，下列何者有誤？(1)透過Like運算子，可以查詢某一字串或字元的一部份(2)使用四則運算在SQL查詢語法中是可行的(3)就字串資料型態而言，「||」在查詢中可被用來串接兩個字串值(4)使用DESC關鍵字可以達到查詢結果的遞增排序的效果。
41	1	2	一般而言，路由表(Routing Table)中不會出現何種資訊？(1)Next hop address(2)MAC address(3)Network address(4)Metrics。
42	1	1	「路由器將鏈結狀態(link state)的資訊，送往相鄰路由器」，該遞送的過程稱為(1)flooding(2)forwarding(3)infor7ming(4)converging。
43	1	1	電腦A經由乙太網路直接送一個IP封包給電腦B，但電腦B的網路卡當掉無法運作，則該封包最有可能的下場為何？(1)封包內部產生逾時(time out)錯誤，自行銷毀(2)由電腦負責回收銷毀(3)由網路內監控電腦(monitor)回收銷毀(4)消失在末端的終端機(terminator)上。
44	1	3	下列那一個指令可以告訴使用者Ethernet相關的通訊統計資訊？(1)ipconfig(2)tracert(3)netstat(4)ping。
45	1	4	那一種switch模式會將整個封包的內容全部讀取後，再繼續傳送？(1)Fast Forward(2)Tabling(3)Cut-through(4)Store-and-Forwared。
46	1	4	下列關於「環狀(Ring)網路」的敘述中，何者錯誤？(1)環狀網路中，每一個端點的電腦是透過Repeater連接到封閉式環狀網路上(2)資料在傳輸媒介上傳遞時，是單向傳送(3)Repeater上分為聆聽、傳送與迂迴(Bypass)三種狀態(4)環狀網路內由於傳輸距離較長，所以連接上網的端點站數也沒有限制。
47	1	3	某電腦的主記憶體為640KB，但可執行2MB的程式，請問該電腦可能使用下列何者？(1)快取記憶體(Cache Memory)(2)關聯記憶體(Associate Memory)(3)虛擬記憶體(Virtual Memory)(4)隨機存取記憶體(Random Access Memory)。
48	1	3	下列何者不是密碼學原理最主要的應用？(1)數位簽章(Digital Signature)(2)數位浮水印(Digital Watermarking)(3)藍芽(Bluetooth)技術(4)公開金鑰基礎建設(Public Key Infrastructure，PKI)。
49	1	4	下列何者不是網頁上所使用的語言？(1)HTML(Hyper Text Markup Language)(2)Java Script(3)DHTML(Dynamic HTML)(4)UML(Unified Modeling Language)。
50	1	4	下列何者不是資料結構(Data Structure)所探討的課題？(1)堆疊(Stack)(2)排序(Sorting)(3)搜尋(Searching)(4)多工(Multitasking)。
51	1	1	資訊系統的轉換方式中，讓舊系統與新系統一起運作，直到新系統證明可靠了才停止舊系統的運作，是下列那一種轉換方式？(1)平行式(parallel)轉換(2)直接式(direct)轉換(3)引導式(pilot)轉換(4)階段式(phased)轉換。
52	1	3	范紐曼機(von Neumann Machine)CPU的運作可以區分成四個階段，下列何者不正確？(1)提取(Fetch)(2)解碼(Decode)(3)重載(Reload)(4)寫回(Writeback)。
53	1	4	下列關於「分散式電腦系統(Distributed Computer System)」的敘述，何者不正確？(1)將多部獨立電腦以網路匯集而成(2)使用者感覺上就像是在使用一部電腦(3)具有優於大型主機(Mainframe)的延展性(Scalability)(4)建置成本通常遠高於大型主機(Mainframe)。
