序號	單元	答案	題目
1	104	D	下列各組「」內的字，何者讀音相同？(A) 自余為「僇」人／ 人臣之「謬」思亂者，乃螳臂之拒走輪耳(B) 陶朱、猗頓之富，「躡」足行伍之間／ 貧賤則「懾」於飢寒(C)「鍥」而不舍，金石可鏤／ 會于會稽山陰之蘭亭，脩「禊」事也(D) 桃花流水「窅」然去／ 門人燃燭來，則道士獨坐，而客「杳」矣
2	104	D	閱讀附圖文章，依文意選出錯誤的選項：(A) 鄭伯採納佚之狐的建議，請燭之武去見秦君(B) 燭之武起初以年老為藉口，婉拒鄭伯的請求(C) 鄭伯從亡國的角度，向燭之武剖析利害關係(D) 佚之狐最後答應鄭伯的請求，前去遊說秦君
3	104	B	閱讀附圖文章，根據文意推斷敘述的重心，填入______內，可使全文完整而明確。(A) 研究出木瓜樹存活率提高的方式(B) 研究出木瓜樹不用藥的種植方法(C) 探討出網室栽培的新式植栽方略(D) 探討出病蟲自然消滅工法的方向
4	104	C	閱讀附圖文章，推斷下列何者不符合文中「老兵精神」的意涵？(A) 老驥伏櫪，志在千里(B) 烈士暮年，壯心不已(C) 年壽有盡，榮樂止身(D) 松柏後凋，正氣長存
5	104	D	閱讀附圖文章，推斷文中平原陶邱氏休妻的理由，下列選項何者正確？(A) 向岳母表達妻子炫耀才貌雙全族人不屑(B) 向岳母抱怨妻子產後容貌衰老遭到斥責(C) 由岳母只生一子認定妻子無法多子多孫(D) 由岳母容貌推論妻子日後一定又老又醜
6	104	B	閱讀附圖文章，師曠以燭火向晉平公說明學習的道理，下列選項何者正確？(A) 老年學習，方法明確，經驗豐富，勝過少壯時期(B) 老年學習，起步雖晚，效果雖小，但也勝過不學(C) 少年學習，成就最大，有如日正當中，發揚光大(D) 壯年學習，效果最好，有如初昇朝陽，蓬勃向上
7	104	C	附圖是一段中間拆散的現代散文，請依文意選出排列順序最恰當的選項：(A) 甲乙丙丁(B) 乙丙丁甲(C) 丙甲丁乙(D) 丁甲乙丙
8	104	C	在「只要我有能力的話，我一定會幫忙到底」的句子中，前一句是條件，後一句是對條件的推論。下列選項，何者用法與此不相同？(A) 除非你親自去邀請，老師們才會來(B) 一旦下定了決心，我們就會全力以赴(C) 雖然外面下著雨，大家還是決定去郊遊(D) 只有堅持到底的人，才能獲得最後的勝利
9	104	A	下列文句中的「微」，何者與「然則何時而樂耶？其必曰：先天下之憂而憂，後天下之樂而樂乎！噫！微斯人，吾誰與歸」的「微」字義相同？(A)「微」管仲，吾其被髮左衽矣(B) 天下之事，常發於至「微」，而?為大患(C) 一日，風雪嚴寒，從數騎出，「微」行，入古寺(D) 吾觀三代以下，世衰道「微」，棄禮義，捐廉恥
10	104	D	書店為了促銷古籍，往往在書名前加上標題。下列古籍的標題，何者與書的內容性質不符合？(A) 滿紙荒唐辛酸淚：紅樓夢(B) 先民生活的謳歌：詩經(C) 魏晉人物寫真集：世說新語(D) 戰國群雄爭霸錄：左傳
